epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,828.188,1.46044,2.11575,1.26158,0.62354,0.58607,0.65791,0.32849,1.62065,1.35741,1.42724,0.00036934,0.00036934,0.00036934
2,957.009,1.29401,1.23653,1.15779,0.69666,0.67823,0.70829,0.41482,1.30169,1.08603,1.26721,0.000732351,0.000732351,0.000732351
3,1085.98,1.2697,1.07599,1.14832,0.73126,0.66056,0.73516,0.43299,1.3199,1.05224,1.28389,0.00108803,0.00108803,0.00108803
4,1211.8,1.22448,0.99716,1.13426,0.80007,0.70597,0.78394,0.499,1.21558,0.93459,1.22985,0.001078,0.001078,0.001078
5,1339.29,1.20398,0.93698,1.12202,0.76347,0.73704,0.79194,0.49169,1.26871,0.90302,1.23498,0.001067,0.001067,0.001067
6,1467.58,1.16085,0.88043,1.10017,0.81836,0.73909,0.81152,0.52135,1.16248,0.83758,1.19055,0.00105601,0.00105601,0.00105601
7,1594.37,1.14828,0.86404,1.09692,0.82342,0.73626,0.80928,0.51265,1.16249,0.81957,1.18161,0.00104501,0.00104501,0.00104501
8,1721.4,1.12473,0.83659,1.08468,0.8129,0.74748,0.82862,0.52882,1.12848,0.79432,1.16663,0.00103401,0.00103401,0.00103401
9,1849.4,1.10927,0.8127,1.07564,0.82894,0.7843,0.84368,0.54865,1.13379,0.74293,1.16545,0.00102301,0.00102301,0.00102301
10,1976.72,1.08823,0.79937,1.07037,0.8288,0.75083,0.83127,0.53613,1.10864,0.77549,1.1517,0.00101201,0.00101201,0.00101201
11,2104.1,1.09062,0.7822,1.06739,0.80232,0.79437,0.83586,0.54296,1.09909,0.73652,1.13997,0.00100101,0.00100101,0.00100101
12,2231.75,1.06835,0.76899,1.06281,0.844,0.7882,0.85631,0.56311,1.08511,0.71122,1.13621,0.000990012,0.000990012,0.000990012
13,2359.35,1.05357,0.74487,1.04693,0.82852,0.77776,0.84686,0.55193,1.08175,0.72824,1.14783,0.000979013,0.000979013,0.000979013
14,2486.03,1.04742,0.74537,1.05302,0.82973,0.80865,0.85999,0.57088,1.07998,0.70228,1.13461,0.000968014,0.000968014,0.000968014
15,2613.31,1.03834,0.72816,1.04615,0.83631,0.79409,0.86363,0.5749,1.06664,0.68188,1.13203,0.000957015,0.000957015,0.000957015
16,2740.75,1.0291,0.71483,1.04416,0.85867,0.81122,0.87483,0.59987,1.05021,0.66857,1.1232,0.000946016,0.000946016,0.000946016
17,2867,1.02351,0.71945,1.04199,0.82618,0.8095,0.84186,0.55949,1.07002,0.68763,1.12931,0.000935018,0.000935018,0.000935018
18,2994.02,1.00955,0.70361,1.03258,0.84918,0.80926,0.87763,0.5892,1.04545,0.68388,1.12611,0.000924019,0.000924019,0.000924019
19,3121.49,1.00804,0.69617,1.03106,0.8429,0.81313,0.87644,0.59578,1.03038,0.65839,1.11451,0.00091302,0.00091302,0.00091302
20,3247.52,1.01655,0.70152,1.03969,0.85674,0.8087,0.8792,0.58411,1.05903,0.64947,1.12988,0.000902021,0.000902021,0.000902021
21,3374.35,1.00136,0.6879,1.03004,0.86062,0.79987,0.87208,0.5754,1.04852,0.65889,1.11611,0.000891022,0.000891022,0.000891022
22,3502.3,0.98952,0.66564,1.02451,0.84769,0.81533,0.87681,0.59045,1.05419,0.6424,1.12793,0.000880023,0.000880023,0.000880023
23,3630.06,0.97952,0.67143,1.02252,0.88355,0.82771,0.89354,0.61442,1.00793,0.62977,1.10464,0.000869024,0.000869024,0.000869024
24,3756.58,0.97961,0.66158,1.022,0.86773,0.82171,0.88672,0.60699,1.01693,0.62993,1.0969,0.000858025,0.000858025,0.000858025
25,3884.7,0.96772,0.65653,1.01645,0.86335,0.83211,0.88811,0.60885,1.00445,0.60765,1.09625,0.000847026,0.000847026,0.000847026
26,4012.29,0.96507,0.65242,1.01714,0.87381,0.83123,0.89137,0.60614,1.01234,0.6207,1.09907,0.000836027,0.000836027,0.000836027
27,4138.6,0.96589,0.64778,1.01553,0.88558,0.82709,0.89713,0.62013,0.99474,0.60843,1.09044,0.000825029,0.000825029,0.000825029
28,4266.22,0.9563,0.639,1.00892,0.86179,0.8383,0.89276,0.61749,1.01871,0.60894,1.09195,0.00081403,0.00081403,0.00081403
29,4393.62,0.96046,0.6391,1.01337,0.87903,0.83886,0.89864,0.62246,0.99114,0.59226,1.07949,0.000803031,0.000803031,0.000803031
30,4520.56,0.94951,0.62805,1.00862,0.87385,0.85263,0.90389,0.62343,0.98915,0.58865,1.08711,0.000792032,0.000792032,0.000792032
31,4647.51,0.94938,0.62864,1.00826,0.86345,0.84519,0.89499,0.62848,0.97647,0.59556,1.07905,0.000781033,0.000781033,0.000781033
