epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5286,1.36221,3.84721,1.64282,0.01519,0.95,0.37055,0.24997,1.00686,3.07109,1.41255,0.000217796,0.000217796,0.000217796
2,35.8839,1.13094,2.91528,1.48379,0.7424,0.41158,0.48642,0.34473,1.15128,2.19205,1.53008,0.000435772,0.000435772,0.000435772
3,52.2668,1.10954,2.45987,1.43979,0.38593,0.50433,0.4211,0.27852,1.42584,6.08106,1.93041,0.000649346,0.000649346,0.000649346
4,68.8686,1.08805,2.26516,1.42333,0.64834,0.56068,0.61852,0.43557,1.34905,1.61865,1.8389,0.00064719,0.00064719,0.00064719
5,84.9776,1.03816,2.07678,1.37969,0.71533,0.60723,0.68144,0.48229,1.14744,2.47448,1.58425,0.000640587,0.000640587,0.000640587
6,101.31,1.04042,1.95869,1.38675,0.82286,0.69484,0.72975,0.49908,1.1514,1.53167,1.51768,0.000633983,0.000633983,0.000633983
7,117.708,0.96758,1.7607,1.32023,0.80502,0.65052,0.72741,0.53141,1.07132,1.47549,1.56034,0.00062738,0.00062738,0.00062738
8,134.612,0.9728,1.63858,1.31064,0.69599,0.69799,0.74301,0.55736,1.03405,1.43055,1.53108,0.000620777,0.000620777,0.000620777
9,151.662,0.93726,1.56675,1.28825,0.8342,0.68543,0.78289,0.58282,1.09211,1.35986,1.62016,0.000614174,0.000614174,0.000614174
10,168.581,0.95414,1.46832,1.29441,0.78685,0.70856,0.78798,0.54589,1.16642,1.15057,1.57389,0.00060757,0.00060757,0.00060757
11,184.923,0.91431,1.41592,1.2739,0.59303,0.78549,0.77337,0.60636,0.93552,1.24075,1.3916,0.000600967,0.000600967,0.000600967
12,201.088,0.90915,1.34952,1.25727,0.77979,0.71618,0.82002,0.60801,0.97271,1.25146,1.41,0.000594364,0.000594364,0.000594364
13,217.687,0.89517,1.30656,1.2646,0.61212,0.81627,0.75201,0.50015,1.31113,1.2779,1.75234,0.00058776,0.00058776,0.00058776
14,233.777,0.9096,1.21749,1.25913,0.90474,0.66171,0.76151,0.58183,1.00105,0.9416,1.4117,0.000581157,0.000581157,0.000581157
15,250.007,0.85177,1.16057,1.22059,0.69494,0.7416,0.76964,0.60956,0.96244,1.10448,1.39934,0.000574554,0.000574554,0.000574554
16,267.603,0.87789,1.1732,1.22878,0.87871,0.7169,0.7738,0.58196,1.03549,1.27372,1.44023,0.00056795,0.00056795,0.00056795
17,283.967,0.86711,1.13225,1.22692,0.84737,0.76866,0.83258,0.64358,0.97364,0.92585,1.38854,0.000561347,0.000561347,0.000561347
18,300.703,0.87453,1.08839,1.22798,0.79766,0.7689,0.77573,0.61768,1.00207,1.09309,1.4043,0.000554744,0.000554744,0.000554744
19,317.082,0.82332,1.01529,1.19633,0.73812,0.81519,0.77128,0.57108,1.0753,0.92955,1.5011,0.000548141,0.000548141,0.000548141
20,333.293,0.82989,1.03058,1.19993,0.7872,0.75361,0.79696,0.60647,1.06147,0.95583,1.45982,0.000541537,0.000541537,0.000541537
21,349.849,0.82901,0.99625,1.1941,0.90363,0.775,0.866,0.64724,0.99402,0.77459,1.37894,0.000534934,0.000534934,0.000534934
22,365.696,0.83303,0.9522,1.20582,0.76313,0.86773,0.84063,0.63575,0.99164,0.74919,1.39652,0.000528331,0.000528331,0.000528331
23,381.602,0.80835,0.9391,1.17994,0.89862,0.69114,0.81869,0.58358,1.02534,1.1685,1.39908,0.000521727,0.000521727,0.000521727
24,399.472,0.79653,0.91381,1.17326,0.84753,0.781,0.80655,0.5892,0.97806,0.83083,1.36869,0.000515124,0.000515124,0.000515124
25,416,0.8014,0.92589,1.19058,0.79861,0.73034,0.80704,0.60027,0.98186,0.88787,1.37892,0.000508521,0.000508521,0.000508521
26,432.342,0.78311,0.89849,1.16284,0.82805,0.82582,0.82758,0.63815,0.94382,0.72495,1.28793,0.000501917,0.000501917,0.000501917
27,448.51,0.79175,0.86515,1.18112,0.77179,0.86803,0.90885,0.70392,0.93983,0.70498,1.31876,0.000495314,0.000495314,0.000495314
28,464.744,0.77001,0.8278,1.16776,0.77103,0.81201,0.8503,0.664,1.00777,0.99653,1.37914,0.000488711,0.000488711,0.000488711
29,481.289,0.75216,0.82131,1.14691,0.92722,0.739,0.84745,0.66017,0.9995,0.82034,1.38503,0.000482108,0.000482108,0.000482108
30,497.31,0.75674,0.82664,1.14415,0.87839,0.84932,0.87536,0.68871,0.96384,0.77844,1.35394,0.000475504,0.000475504,0.000475504
31,512.932,0.77588,0.79711,1.15687,0.95788,0.74269,0.83546,0.64074,0.96623,0.72332,1.3605,0.000468901,0.000468901,0.000468901
32,529.557,0.75158,0.80316,1.15468,0.86387,0.77924,0.87304,0.68643,0.95402,0.70972,1.37546,0.000462298,0.000462298,0.000462298
33,546.542,0.7379,0.76405,1.12968,0.78539,0.81905,0.84344,0.65624,1.01283,0.74941,1.36514,0.000455694,0.000455694,0.000455694
34,562.792,0.73012,0.73902,1.13881,0.85796,0.88097,0.90563,0.72913,0.90176,0.60676,1.27967,0.000449091,0.000449091,0.000449091
35,578.822,0.7078,0.74136,1.12404,0.82787,0.81737,0.88742,0.70319,0.95634,0.88927,1.31444,0.000442488,0.000442488,0.000442488
36,594.823,0.71263,0.76766,1.14132,0.68441,0.89402,0.82485,0.6212,1.01265,0.86608,1.40611,0.000435884,0.000435884,0.000435884
37,611.509,0.72448,0.7204,1.13668,0.90068,0.74337,0.84949,0.66992,0.99781,0.77267,1.3697,0.000429281,0.000429281,0.000429281
38,627.787,0.67907,0.68502,1.10308,0.89606,0.83822,0.88516,0.68419,0.9911,0.7168,1.37091,0.000422678,0.000422678,0.000422678
39,644.138,0.70748,0.69669,1.1206,0.84675,0.87469,0.91899,0.73687,0.93567,0.64711,1.34274,0.000416075,0.000416075,0.000416075
40,660.069,0.73101,0.72058,1.13958,0.87814,0.86739,0.87643,0.72709,0.85526,0.60047,1.23941,0.000409471,0.000409471,0.000409471
41,676.965,0.68621,0.68197,1.10966,0.88075,0.79625,0.86139,0.69876,0.91305,0.59699,1.2938,0.000402868,0.000402868,0.000402868
42,694.428,0.67326,0.6815,1.10615,0.88048,0.78142,0.84526,0.67379,0.89158,0.60427,1.31999,0.000396265,0.000396265,0.000396265
43,710.066,0.69557,0.66863,1.11724,0.83044,0.84405,0.8618,0.68195,0.9464,0.79653,1.37525,0.000389661,0.000389661,0.000389661
44,726.625,0.66961,0.64066,1.10517,0.73687,0.83153,0.86515,0.69031,0.9452,0.59552,1.30885,0.000383058,0.000383058,0.000383058
